name,short_team,team,drafted,url,handed,seasons,war,war/season
Robbie Ross,TEX,Rangers,2008,/players/r/rossro01.shtml,LHP,3,1.2,0.4
Cody Eppley,TEX,Rangers,2008,/players/e/eppleco01.shtml,RHP,1,-0.4,-0.4
Tanner Scheppers,TEX,Rangers,2009,/players/s/schepta01.shtml,RHP,6,0.7,0.12
Luke Jackson,TEX,Rangers,2010,/players/j/jackslu01.shtml,RHP,2,-0.7,-0.35
Justin Grimm,TEX,Rangers,2010,/players/g/grimmju01.shtml,RHP,2,-2.0,-1.0
Nick Tepesch,TEX,Rangers,2010,/players/t/tepesni01.shtml,RHP,2,0.8,0.4
Ben Rowen,TEX,Rangers,2010,/players/r/rowenbe01.shtml,RHP,1,0.1,0.1
Alex Claudio,TEX,Rangers,2010,/players/c/claudal01.shtml,LHP,5,5.2,1.04
Connor Sadzeck,TEX,Rangers,2011,/players/s/sadzeco01.shtml,RHP,1,0.4,0.4
Andrew Faulkner,TEX,Rangers,2011,/players/f/faulkan01.shtml,LHP,2,-0.1,-0.05
Nick Martinez,TEX,Rangers,2011,/players/m/martini01.shtml,RHP,4,1.6,0.4
Phil Klein,TEX,Rangers,2011,/players/k/kleinph01.shtml,RHP,3,0.0,0.0
Keone Kela,TEX,Rangers,2012,/players/k/kelake01.shtml,RHP,4,3.7,0.93
Chi Chi Gonzalez,TEX,Rangers,2013,/players/g/gonzach01.shtml,RHP,2,0.4,0.2
Nick Gardewine,TEX,Rangers,2013,/players/g/gardeni01.shtml,RHP,2,-0.1,-0.05
Jeffrey Springs,TEX,Rangers,2015,/players/s/sprinje01.shtml,LHP,1,0.6,0.6
C.D. Pelham,TEX,Rangers,2015,/players/p/pelhacd01.shtml,LHP,1,-0.1,-0.1
Tyler Chatwood,LAA,Angels,2008,/players/c/chatwty01.shtml,RHP,1,-0.5,-0.5
Buddy Boshers,LAA,Angels,2008,/players/b/boshebu01.shtml,LHP,1,0.0,0.0
Michael Kohn,LAA,Angels,2008,/players/k/kohnmi01.shtml,RHP,4,1.1,0.28
Andrew Taylor,LAA,Angels,2008,/players/t/tayloan01.shtml,LHP,1,-0.1,-0.1
Garrett Richards,LAA,Angels,2009,/players/r/richaga01.shtml,RHP,8,7.7,0.96
David Carpenter,LAA,Angels,2009,/players/c/carpeda02.shtml,RHP,3,-0.4,-0.13
Nick Maronde,LAA,Angels,2011,/players/m/maronni01.shtml,LHP,3,-0.8,-0.27
Michael Roth,LAA,Angels,2012,/players/r/rothmi01.shtml,LHP,2,-1.0,-0.5
Mike Morin,LAA,Angels,2012,/players/m/morinmi01.shtml,RHP,4,-1.0,-0.25
Keynan Middleton,LAA,Angels,2013,/players/m/middlke01.shtml,RHP,2,1.4,0.7
Jake Jewell,LAA,Angels,2014,/players/j/jewelja01.shtml,RHP,1,-0.1,-0.1
Justin Anderson,LAA,Angels,2014,/players/a/anderju01.shtml,RHP,1,0.4,0.4
Greg Mahle,LAA,Angels,2014,/players/m/mahlegr01.shtml,LHP,1,-0.3,-0.3
Jordan Lyles,HOU,Astros,2008,/players/l/lylesjo01.shtml,RHP,3,-2.7,-0.9
Jordan Jankowski,HOU,Astros,2008,/players/j/jankojo01.shtml,C,1,-0.2,-0.2
Dallas Keuchel,HOU,Astros,2009,/players/k/keuchda01.shtml,LHP,7,18.2,2.6
Vince Velasquez,HOU,Astros,2010,/players/v/velasvi01.shtml,RHP,1,0.2,0.2
Jake Buchanan,HOU,Astros,2010,/players/b/buchaja01.shtml,RHP,2,0.1,0.05
Nick Tropeano,HOU,Astros,2011,/players/t/tropeni01.shtml,RHP,1,-0.1,-0.1
Lance McCullers Jr.,HOU,Astros,2012,/players/m/mcculla02.shtml,RHP,4,6.1,1.52
Brady Rodgers,HOU,Astros,2012,/players/r/rodgebr01.shtml,RHP,1,-0.6,-0.6
Jordan Jankowski,HOU,Astros,2012,/players/j/jankojo01.shtml,RHP,1,-0.2,-0.2
Dean Deetz,HOU,Astros,2014,/players/d/deetzde01.shtml,RHP,1,0.0,0.0
Josh James,HOU,Astros,2014,/players/j/jamesjo02.shtml,RHP,1,0.7,0.7
Tyson Ross,OAK,Athletics,2008,/players/r/rossty01.shtml,RHP,3,-0.6,-0.2
Dan Straily,OAK,Athletics,2009,/players/s/straida01.shtml,RHP,3,1.8,0.6
A.J. Griffin,OAK,Athletics,2010,/players/g/griffaj01.shtml,RHP,2,4.9,2.45
Sonny Gray,OAK,Athletics,2011,/players/g/grayso01.shtml,RHP,5,11.4,2.28
Ryan Dull,OAK,Athletics,2012,/players/d/dullry01.shtml,RHP,4,1.8,0.45
Dillon Overton,OAK,Athletics,2013,/players/o/overtdi01.shtml,LHP,1,-1.1,-1.1
Bobby Wahl,OAK,Athletics,2013,/players/w/wahlbo01.shtml,RHP,1,0.0,0.0
Lou Trivino,OAK,Athletics,2013,/players/t/trivilo01.shtml,RHP,1,1.6,1.6
Daniel Gossett,OAK,Athletics,2014,/players/g/gosseda01.shtml,RHP,2,-0.6,-0.3
Evan Crawford,TOR,Blue Jays,2008,/players/c/crawfev01.shtml,LHP,1,-0.1,-0.1
Danny Farquhar,TOR,Blue Jays,2008,/players/f/farquda01.shtml,RHP,1,-0.1,-0.1
Dustin Antolin,TOR,Blue Jays,2008,/players/a/antoldu01.shtml,RHP,1,-0.1,-0.1
Chad Jenkins,TOR,Blue Jays,2009,/players/j/jenkich01.shtml,RHP,4,1.5,0.38
Aaron Loup,TOR,Blue Jays,2009,/players/l/loupaa01.shtml,LHP,7,4.2,0.6
Drew Hutchison,TOR,Blue Jays,2009,/players/h/hutchdr01.shtml,RHP,4,0.3,0.07
Ryan Tepera,TOR,Blue Jays,2009,/players/t/teperry01.shtml,RHP,4,3.0,0.75
Aaron Sanchez,TOR,Blue Jays,2010,/players/s/sanchaa01.shtml,RHP,5,9.2,1.84
Sam Dyson,TOR,Blue Jays,2010,/players/d/dysonsa01.shtml,RHP,1,-0.2,-0.2
Sean Nolin,TOR,Blue Jays,2010,/players/n/nolinse01.shtml,LHP,2,-0.3,-0.15
Danny Barnes,TOR,Blue Jays,2010,/players/b/barneda02.shtml,RHP,3,1.2,0.4
Taylor Cole,TOR,Blue Jays,2011,/players/c/coleta01.shtml,RHP,1,-0.3,-0.3
Marcus Stroman,TOR,Blue Jays,2012,/players/s/stromma01.shtml,RHP,5,10.6,2.12
Ryan Borucki,TOR,Blue Jays,2012,/players/b/borucry01.shtml,LHP,1,1.7,1.7
Matthew Boyd,TOR,Blue Jays,2013,/players/b/boydma01.shtml,LHP,1,-0.5,-0.5
Kendall Graveman,TOR,Blue Jays,2013,/players/g/graveke01.shtml,RHP,1,0.1,0.1
Chad Girodo,TOR,Blue Jays,2013,/players/g/girodch01.shtml,LHP,1,0.1,0.1
Tim Mayza,TOR,Blue Jays,2013,/players/m/mayzati01.shtml,LHP,2,0.4,0.2
Matt Dermody,TOR,Blue Jays,2013,/players/d/dermoma01.shtml,LHP,2,0.0,0.0
Sean Reid-Foley,TOR,Blue Jays,2014,/players/r/reidfse01.shtml,RHP,1,-0.1,-0.1
Justin Shafer,TOR,Blue Jays,2014,/players/s/shafeju01.shtml,RHP,1,0.1,0.1
Craig Kimbrel,ATL,Braves,2008,/players/k/kimbrcr01.shtml,RHP,5,12.0,2.4
Mike Minor,ATL,Braves,2009,/players/m/minormi01.shtml,LHP,5,3.6,0.72
David Hale,ATL,Braves,2009,/players/h/haleda02.shtml,RHP,2,1.1,0.55
Ryan Weber,ATL,Braves,2009,/players/w/weberry01.shtml,RHP,2,0.0,0.0
Chasen Shreve,ATL,Braves,2010,/players/s/shrevch01.shtml,LHP,1,0.4,0.4
Cody Martin,ATL,Braves,2011,/players/m/martico01.shtml,RHP,1,-0.3,-0.3
John Cornely,ATL,Braves,2011,/players/c/cornejo01.shtml,RHP,1,-0.1,-0.1
Gus Schlosser,ATL,Braves,2011,/players/s/schlogu01.shtml,RHP,1,-0.7,-0.7
Lucas Sims,ATL,Braves,2012,/players/s/simslu01.shtml,RHP,2,-0.3,-0.15
Alex Wood,ATL,Braves,2012,/players/w/woodal02.shtml,LHP,3,7.1,2.37
Shae Simmons,ATL,Braves,2012,/players/s/simmosh01.shtml,RHP,2,0.5,0.25
Matt Marksberry,ATL,Braves,2013,/players/m/marksma01.shtml,LHP,2,-0.4,-0.2
Chad Sobotka,ATL,Braves,2014,/players/s/sobotch01.shtml,RHP,1,0.4,0.4
Kolby Allard,ATL,Braves,2015,/players/a/allarko01.shtml,LHP,1,-0.6,-0.6
Mike Soroka,ATL,Braves,2015,/players/s/sorokmi01.shtml,RHP,1,0.0,0.0
A.J. Minter,ATL,Braves,2015,/players/m/minteaj01.shtml,LHP,2,1.1,0.55
