name,short_team,team,drafted,url,handed,W,L,G,GS,IP,H,R,ER,ERA,HR,BB,K
Jordan Walden,LAA,Angels,2006,/players/w/waldejo01.shtml,RHP,8,8,123,0,114.66666666666667,97,41,39,3.06,7,51,138
Ryan Brasier,LAA,Angels,2007,/players/b/brasiry01.shtml,RHP,0,0,7,0,9.0,7,2,2,2.0,1,4,7
Tyler Chatwood,LAA,Angels,2008,/players/c/chatwty01.shtml,RHP,6,11,27,25,142.0,166,81,75,4.75,14,71,74
Buddy Boshers,LAA,Angels,2008,/players/b/boshebu01.shtml,LHP,0,0,25,0,15.333333333333334,13,8,8,4.7,0,8,13
Michael Kohn,LAA,Angels,2008,/players/k/kohnmi01.shtml,RHP,5,6,126,0,110.33333333333333,84,46,45,3.67,14,73,107
Andrew Taylor,LAA,Angels,2008,/players/t/tayloan01.shtml,LHP,0,0,3,0,2.3333333333333335,3,3,3,11.57,0,4,0
Garrett Richards,LAA,Angels,2009,/players/r/richaga01.shtml,RHP,45,38,170,115,744.6666666666666,662,342,293,3.54,62,268,645
David Carpenter,LAA,Angels,2009,/players/c/carpeda02.shtml,RHP,1,2,30,0,43.0,45,25,25,5.23,7,19,29
Nick Maronde,LAA,Angels,2011,/players/m/maronni01.shtml,LHP,0,0,33,0,17.666666666666668,22,16,14,7.13,1,18,19
Michael Roth,LAA,Angels,2012,/players/r/rothmi01.shtml,LHP,2,1,22,1,32.333333333333336,40,28,28,7.79,2,15,26
Mike Morin,LAA,Angels,2012,/players/m/morinmi01.shtml,RHP,10,8,177,0,164.33333333333334,160,92,82,4.49,15,45,154
Keynan Middleton,LAA,Angels,2013,/players/m/middlke01.shtml,RHP,6,1,80,0,76.0,74,29,29,3.43,12,27,79
Jake Jewell,LAA,Angels,2014,/players/j/jewelja01.shtml,RHP,0,1,3,0,2.0,2,2,2,9.0,0,1,1
Justin Anderson,LAA,Angels,2014,/players/a/anderju01.shtml,RHP,3,3,57,0,55.333333333333336,42,25,25,4.07,3,40,67
Greg Mahle,LAA,Angels,2014,/players/m/mahlegr01.shtml,LHP,1,0,24,0,18.333333333333332,23,13,11,5.4,4,10,14
Derek Holland,TEX,Rangers,2006,/players/h/hollade01.shtml,LHP,62,50,179,158,985.0,997,517,476,4.35,132,311,790
Tommy Hunter,TEX,Rangers,2007,/players/h/hunteto02.shtml,RHP,23,13,53,44,266.3333333333333,274,136,129,4.36,39,74,151
Matt West,TEX,Rangers,2007,/players/w/westma03.shtml,3B,0,0,3,0,4.0,6,3,3,6.75,0,1,3
Robbie Ross,TEX,Rangers,2008,/players/r/rossro01.shtml,LHP,13,8,150,12,205.66666666666666,221,107,91,3.98,16,72,156
Cody Eppley,TEX,Rangers,2008,/players/e/eppleco01.shtml,RHP,1,1,10,0,9.0,11,8,8,8.0,3,5,6
Tanner Scheppers,TEX,Rangers,2009,/players/s/schepta01.shtml,RHP,12,7,180,4,183.0,184,95,86,4.23,24,72,148
Luke Jackson,TEX,Rangers,2010,/players/j/jackslu01.shtml,RHP,0,0,15,0,18.0,27,17,17,8.5,5,10,9
Justin Grimm,TEX,Rangers,2010,/players/g/grimmju01.shtml,RHP,8,8,22,19,103.0,138,81,77,6.73,16,34,81
Nick Tepesch,TEX,Rangers,2010,/players/t/tepesni01.shtml,RHP,9,17,42,39,219.0,228,119,111,4.56,27,71,132
Ben Rowen,TEX,Rangers,2010,/players/r/rowenbe01.shtml,RHP,0,0,8,0,8.666666666666666,10,4,4,4.15,0,4,7
Alex Claudio,TEX,Rangers,2010,/players/c/claudal01.shtml,LHP,13,6,208,2,230.66666666666666,243,90,82,3.2,15,48,158
Connor Sadzeck,TEX,Rangers,2011,/players/s/sadzeco01.shtml,RHP,0,0,13,2,9.333333333333334,6,2,1,0.96,0,11,7
Andrew Faulkner,TEX,Rangers,2011,/players/f/faulkan01.shtml,LHP,0,0,20,0,16.333333333333332,16,10,8,4.41,5,7,11
Nick Martinez,TEX,Rangers,2011,/players/m/martini01.shtml,RHP,17,30,88,68,415.3333333333333,454,243,220,4.77,68,148,237
Phil Klein,TEX,Rangers,2011,/players/k/kleinph01.shtml,RHP,2,3,36,2,45.0,42,26,24,4.8,9,22,47
Keone Kela,TEX,Rangers,2012,/players/k/kelake01.shtml,RHP,19,10,180,0,169.66666666666666,128,67,65,3.45,17,66,208
Chi Chi Gonzalez,TEX,Rangers,2013,/players/g/gonzach01.shtml,RHP,4,8,17,13,77.33333333333333,70,46,39,4.54,7,41,37
Nick Gardewine,TEX,Rangers,2013,/players/g/gardeni01.shtml,RHP,0,0,15,0,13.0,17,10,7,4.85,1,7,7
Jeffrey Springs,TEX,Rangers,2015,/players/s/sprinje01.shtml,LHP,1,1,18,2,32.0,32,14,12,3.38,4,14,31
C.D. Pelham,TEX,Rangers,2015,/players/p/pelhacd01.shtml,LHP,0,0,10,0,7.666666666666667,12,6,6,7.04,0,4,7
Bud Norris,HOU,Astros,2006,/players/n/norribu01.shtml,RHP,34,46,119,118,689.6666666666666,687,368,332,4.33,85,281,643
Jordan Lyles,HOU,Astros,2008,/players/l/lylesjo01.shtml,RHP,14,29,72,65,377.0,431,256,224,5.35,51,117,259
Jordan Jankowski,HOU,Astros,2008,/players/j/jankojo01.shtml,C,1,0,3,0,4.333333333333333,7,6,6,12.46,3,2,5
