drafted,BB,GS,name,G,url,IP,H,L,handed,war,HR,R,ERA,W,team,short_team,K,ER
2006,194,46,Zach Britton,306,/players/b/brittza01.shtml,516.6666666666666,460,22,LHP,11.0,32,211,3.22,30,Orioles,BAL,425,185
2006,85,24,Jason Berken,106,/players/b/berkeja01.shtml,230.0,297,17,RHP,0.2,36,152,5.4,10,Orioles,BAL,152,138
2007,159,63,Jake Arrieta,69,/players/a/arrieja01.shtml,358.0,368,25,RHP,0.09999999999999987,48,228,5.46,20,Orioles,BAL,277,217
2008,202,68,Brian Matusz,279,/players/m/matusbr01.shtml,525.6666666666666,561,41,LHP,2.7000000000000006,76,303,4.85,27,Orioles,BAL,460,283
2008,19,0,Oliver Drake,30,/players/d/drakeol01.shtml,37.0,33,0,RHP,-0.1,3,21,3.89,1,Orioles,BAL,41,16
2009,97,0,Mychal Givens,226,/players/g/givenmy01.shtml,260.0,197,10,SS,5.699999999999999,21,96,3.12,18,Orioles,BAL,301,90
2009,3,0,Ashur Tolliver,5,/players/t/tollias01.shtml,4.666666666666667,5,0,LHP,-0.1,1,4,5.79,1,Orioles,BAL,5,3
2010,1,0,Parker Bridwell,2,/players/b/bridwpa01.shtml,3.3333333333333335,5,0,RHP,-0.2,2,5,13.5,0,Orioles,BAL,3,5
2011,148,73,Dylan Bundy,97,/players/b/bundydy01.shtml,452.6666666666667,450,31,RHP,4.6,85,250,4.63,31,Orioles,BAL,440,233
2011,87,23,Mike Wright Jr.,91,/players/w/wrighmi01.shtml,228.66666666666666,260,11,RHP,-1.0,38,154,5.75,10,Orioles,BAL,178,146
2011,39,19,Tyler Wilson,42,/players/w/wilsoty01.shtml,145.33333333333334,171,10,RHP,0.7000000000000001,19,85,5.02,8,Orioles,BAL,77,81
2012,230,127,Kevin Gausman,150,/players/g/gausmke01.shtml,763.6666666666666,801,51,RHP,10.3,110,371,4.22,39,Orioles,BAL,697,358
2013,32,7,Jimmy Yacabonis,26,/players/y/yacabji01.shtml,60.666666666666664,58,2,RHP,0.4,10,35,5.04,2,Orioles,BAL,41,34
2013,4,0,Stefan Crichton,8,/players/c/crichst01.shtml,12.333333333333334,26,0,RHP,-0.2,2,11,8.03,0,Orioles,BAL,8,11
2013,31,0,Donnie Hart,93,/players/h/hartdo01.shtml,81.33333333333333,91,0,LHP,1.6,8,33,3.43,2,Orioles,BAL,54,31
2014,37,19,David Hess,21,/players/h/hessda01.shtml,103.33333333333333,106,10,RHP,0.7,22,64,4.88,3,Orioles,BAL,74,56
2014,30,0,Tanner Scott,55,/players/s/scottta01.shtml,55.0,57,3,LHP,-0.2,6,35,5.56,3,Orioles,BAL,78,34
2014,0,0,John Means,1,/players/m/meansjo01.shtml,3.3333333333333335,6,0,LHP,-0.2,1,5,13.5,0,Orioles,BAL,4,5
2015,10,1,Ryan Meisinger,18,/players/m/meisiry01.shtml,21.0,18,1,RHP,-0.1,6,15,6.43,2,Orioles,BAL,21,15
drafted,BB,GS,name,G,url,IP,H,L,handed,war,HR,R,ERA,W,team,short_team,K,ER
2006,65,15,Justin Masterson,67,/players/m/masteju01.shtml,160.33333333333334,140,8,RHP,2.9000000000000004,17,69,3.76,9,Red Sox,BOS,135,67
2006,15,0,Dustin Richardson,29,/players/r/richadu02.shtml,16.333333333333332,18,0,LHP,0.30000000000000004,2,6,3.31,0,Red Sox,BOS,12,6
2007,9,0,Drake Britton,25,/players/b/brittdr01.shtml,27.666666666666668,26,1,LHP,0.5,1,9,2.93,1,Red Sox,BOS,21,9
2008,12,5,Kyle Weiland,7,/players/w/weilaky01.shtml,24.666666666666668,29,3,RHP,-0.6,5,22,7.66,0,Red Sox,BOS,13,21
2009,19,0,Alex Wilson,44,/players/w/wilsoal01.shtml,56.0,54,1,RHP,0.3,3,24,3.38,2,Red Sox,BOS,41,21
2010,16,7,Anthony Ranaudo,7,/players/r/ranauan01.shtml,39.333333333333336,39,3,RHP,-0.1,10,21,4.81,4,Red Sox,BOS,15,21
2011,44,16,Henry Owens,16,/players/o/owenshe02.shtml,85.0,85,6,LHP,0.19999999999999996,12,52,5.19,4,Red Sox,BOS,71,49
2011,16,0,Noe Ramirez,33,/players/r/ramirno01.shtml,30.666666666666668,32,1,RHP,-0.7,9,23,4.99,0,Red Sox,BOS,32,17
2012,50,19,Brian Johnson,44,/players/j/johnsbr02.shtml,130.66666666666666,139,6,LHP,1.6,21,66,4.34,6,Red Sox,BOS,111,63
2012,1,0,Pat Light,2,/players/l/lightpa01.shtml,2.6666666666666665,7,0,RHP,-0.2,2,8,23.63,0,Red Sox,BOS,2,7
2012,2,0,Austin Maddox,13,/players/m/maddoau01.shtml,17.333333333333332,13,0,RHP,0.7,1,1,0.52,0,Red Sox,BOS,14,1
2013,2,0,Kyle Martin,2,/players/m/martiky01.shtml,2.3333333333333335,2,0,RHP,0.0,1,1,3.86,0,Red Sox,BOS,1,1
2014,4,1,Jalen Beeks,2,/players/b/beeksja02.shtml,6.333333333333333,11,1,LHP,-0.4,1,9,12.79,0,Red Sox,BOS,5,9
2015,9,0,Ben Taylor,14,/players/t/taylobe10.shtml,17.333333333333332,20,1,RHP,-0.1,3,10,5.19,0,Red Sox,BOS,18,10
2015,3,0,Bobby Poyner,20,/players/p/poynebo01.shtml,22.333333333333332,22,0,LHP,0.6,4,8,3.22,1,Red Sox,BOS,24,8
drafted,BB,GS,name,G,url,IP,H,L,handed,war,HR,R,ERA,W,team,short_team,K,ER
2006,182,43,Joba Chamberlain,260,/players/c/chambjo03.shtml,444.6666666666667,433,14,RHP,7.000000000000001,47,209,3.85,23,Yankees,NYY,446,190
2006,3,0,George Kontos,7,/players/k/kontoge01.shtml,6.0,4,0,RHP,0.2,1,2,3.0,0,Yankees,NYY,6,2
2006,170,1,Dellin Betances,357,/players/b/betande01.shtml,381.0,228,22,RHP,11.7,26,113,2.36,21,Yankees,NYY,619,100
2006,10,0,Mark Melancon,15,/players/m/melanma01.shtml,20.333333333333332,20,1,RHP,0.1,1,13,4.87,0,Yankees,NYY,13,11
2006,166,0,David Robertson,402,/players/r/roberda08.shtml,393.3333333333333,312,19,RHP,13.3,30,129,2.81,25,Yankees,NYY,524,123
2007,3,0,Andrew Brackman,3,/players/b/brackan01.shtml,2.3333333333333335,1,0,RHP,0.1,0,0,0.0,0,Yankees,NYY,0,0
2008,7,0,Brett Marshall,3,/players/m/marshbr01.shtml,12.0,13,0,RHP,0.0,3,6,4.5,0,Yankees,NYY,7,6
2008,3,0,D.J. Mitchell,4,/players/m/mitchdj01.shtml,4.666666666666667,7,0,RHP,0.1,1,2,3.86,0,Yankees,NYY,2,2
2008,119,40,David Phelps,87,/players/p/phelpda01.shtml,299.3333333333333,284,14,RHP,1.9,35,150,4.21,15,Yankees,NYY,267,140
2009,95,20,Adam Warren,147,/players/w/warread01.shtml,289.3333333333333,265,15,RHP,7.500000000000001,26,113,3.39,13,Yankees,NYY,245,109
2009,1,0,Caleb Cotham,12,/players/c/cothaca01.shtml,9.666666666666666,14,0,RHP,-0.1,4,7,6.52,1,Yankees,NYY,11,7
2009,29,14,Shane Greene,15,/players/g/greensh02.shtml,78.66666666666667,81,4,RHP,0.6,8,38,3.78,5,Yankees,NYY,81,33
2009,44,9,Bryan Mitchell,48,/players/m/mitchbr01.shtml,98.33333333333333,115,6,RHP,-0.19999999999999996,7,64,4.94,2,Yankees,NYY,64,54
2010,1,0,Danny Burawa,1,/players/b/burawda01.shtml,0.6666666666666666,3,0,RHP,-0.2,1,4,54.0,0,Yankees,NYY,1,4
2010,23,16,Chase Whitley,28,/players/w/whitlch01.shtml,95.0,114,5,RHP,-0.09999999999999998,13,53,5.02,5,Yankees,NYY,76,53
2010,24,0,Preston Claiborne,62,/players/c/claibpr01.shtml,71.33333333333333,75,2,RHP,0.4,8,32,3.79,3,Yankees,NYY,58,30
2010,4,0,Conor Mullee,3,/players/m/mulleco01.shtml,3.0,0,0,RHP,0.1,0,1,3.0,0,Yankees,NYY,4,1
2011,15,0,Branden Pinder,26,/players/p/pindebr01.shtml,28.666666666666668,31,2,RHP,0.4,4,11,3.45,0,Yankees,NYY,26,11
2011,15,0,Nick Goody,34,/players/g/goodyni01.shtml,34.666666666666664,36,0,RHP,0.2,7,18,4.67,0,Yankees,NYY,37,18
2011,2,0,Matt Tracy,1,/players/t/tracyma01.shtml,2.0,2,0,LHP,-0.1,0,3,0.0,0,Yankees,NYY,1,0
2012,15,0,Nick Goody,34,/players/g/goodyni01.shtml,34.666666666666664,36,0,RHP,0.2,7,18,4.67,0,Yankees,NYY,37,18
2012,4,0,James Pazos,18,/players/p/pazosja01.shtml,8.333333333333334,10,0,LHP,0.09999999999999998,2,5,5.4,1,Yankees,NYY,6,5
2013,5,0,Nick Rumbelow,17,/players/r/rumbeni01.shtml,15.666666666666666,16,1,RHP,0.1,2,8,4.02,1,Yankees,NYY,15,7
2013,4,0,Tyler Webb,7,/players/w/webbty01.shtml,6.0,3,0,LHP,0.0,1,3,4.5,0,Yankees,NYY,5,3
2013,10,2,Caleb Smith,9,/players/s/smithca03.shtml,18.666666666666668,21,1,LHP,-0.3,4,16,7.71,0,Yankees,NYY,18,16
2014,4,0,Jacob Lindgren,7,/players/l/lindgja01.shtml,7.0,5,0,LHP,0.0,3,4,5.14,0,Yankees,NYY,8,4
2014,63,35,Jordan Montgomery,35,/players/m/montgjo01.shtml,182.66666666666666,165,7,LHP,3.5,24,83,3.84,11,Yankees,NYY,167,78
2014,31,1,Jonathan Holder,105,/players/h/holdejo02.shtml,113.66666666666667,106,4,RHP,1.5,10,49,3.56,2,Yankees,NYY,105,45
2015,4,1,Chance Adams,3,/players/a/adamsch01.shtml,7.666666666666667,8,1,RHP,-0.2,3,7,7.04,0,Yankees,NYY,4,6
drafted,BB,GS,name,G,url,IP,H,L,handed,war,HR,R,ERA,W,team,short_team,K,ER
